block_size,search_window_size,estimation_type,error_function,OF_MSEN,OF_PEPN,time
24,88,forward,nccorr,2.205838930782352,12.955046487108214,0.11338305473327637
24,88,forward,nccorr,2.205838930782352,12.955046487108214,0.11288261413574219
20,80,forward,nccorr,2.308802591443939,13.452506469855267,0.15101265907287598
24,88,forward,nccorr,2.205838930782352,12.955046487108214,0.11307573318481445
24,84,forward,nccorr,2.1923828085958017,12.950254001725295,0.11090826988220215
20,88,forward,nccoeff,3.1270962861165095,14.570114061152113,0.20850110054016113
24,84,forward,nccorr,2.1923828085958017,12.950254001725295,0.11042308807373047
28,88,forward,nccorr,2.2842233054290038,13.001054346784242,0.08581066131591797
16,84,forward,nccorr,2.769381761117373,13.432378031247005,0.21724367141723633
24,76,forward,nccorr,2.1624613162692827,13.065273650915364,0.10244417190551758
24,76,forward,nccorr,2.1624613162692827,13.065273650915364,0.10262942314147949
28,76,forward,nccorr,2.2282037913772847,12.983801399405731,0.07977628707885742
20,80,forward,nccorr,2.308802591443939,13.452506469855267,0.15004348754882812
24,76,forward,nccorr,2.1624613162692827,13.065273650915364,0.10251379013061523
24,72,forward,nccorr,2.2007503152840933,13.112240007667976,0.1001884937286377
28,72,forward,nccorr,2.2705702967578167,13.052813188919773,0.07631874084472656
20,76,forward,nccorr,2.327203226849479,13.624077446563788,0.14615988731384277
16,84,forward,mae,37.19752089382482,99.67027700565514,86.753244638443
